Country,State,District,Year,As On Date,"Number Of Block (UOM:Number), Scaling Factor:1","Number Of Har Ghar Jal Block Reported (UOM:Number), Scaling Factor:1","Number Of Har Ghar Jal Block Certified (UOM:Number), Scaling Factor:1","Number Of Panchayats (UOM:Number), Scaling Factor:1","Number Of Har Ghar Jal Panchayat Reported (UOM:Number), Scaling Factor:1","Number Of Har Ghar Jal Panchayat Certified (UOM:Number), Scaling Factor:1","Number Of Villages (UOM:Number), Scaling Factor:1","Number Of Har Ghar Jal Village Reported (UOM:Number), Scaling Factor:1","Number Of Har Ghar Jal Village Certifiied (UOM:Number), Scaling Factor:1"
India,Andaman and Nicobar Islands,Nicobars,"Financial Year (Apr - Mar), 2025",22-Apr-2026,3,3,3,10,10,10,62,62,62
India,Andaman and Nicobar Islands,North and Middle Andaman,"Financial Year (Apr - Mar), 2025",22-Apr-2026,3,3,3,37,37,37,114,114,114
India,Andaman and Nicobar Islands,South Andamans,"Financial Year (Apr - Mar), 2025",22-Apr-2026,3,3,3,28,28,28,89,89,89
India,Andhra Pradesh,Alluri Sitharama Raju,"Financial Year (Apr - Mar), 2025",22-Apr-2026,22,0,0,429,22,0,2878,554,30
India,Andhra Pradesh,Anakapalli,"Financial Year (Apr - Mar), 2025",22-Apr-2026,24,0,0,572,33,6,669,39,10
India,Andhra Pradesh,Ananthapuramu,"Financial Year (Apr - Mar), 2025",22-Apr-2026,31,0,0,435,78,37,494,106,52
India,Andhra Pradesh,Annamayya,"Financial Year (Apr - Mar), 2025",22-Apr-2026,30,29,26,409,408,405,438,437,434
India,Andhra Pradesh,Bapatla,"Financial Year (Apr - Mar), 2025",22-Apr-2026,25,0,0,260,9,8,265,10,9
India,Andhra Pradesh,Chittoor,"Financial Year (Apr - Mar), 2025",22-Apr-2026,31,30,25,545,544,536,759,758,750
India,Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,"Financial Year (Apr - Mar), 2025",22-Apr-2026,22,0,0,319,25,20,314,27,22
India,Andhra Pradesh,East Godavari,"Financial Year (Apr - Mar), 2025",22-Apr-2026,18,0,0,252,37,34,258,39,36
India,Andhra Pradesh,Eluru,"Financial Year (Apr - Mar), 2025",22-Apr-2026,27,3,2,454,220,203,603,325,306
India,Andhra Pradesh,Guntur,"Financial Year (Apr - Mar), 2025",22-Apr-2026,16,0,0,186,27,21,187,28,22
India,Andhra Pradesh,Kakinada,"Financial Year (Apr - Mar), 2025",22-Apr-2026,20,0,0,349,57,44,389,75,61
India,Andhra Pradesh,Krishna,"Financial Year (Apr - Mar), 2025",22-Apr-2026,25,0,0,431,50,20,478,56,20
India,Andhra Pradesh,Kurnool,"Financial Year (Apr - Mar), 2025",22-Apr-2026,25,0,0,431,16,12,439,15,12
India,Andhra Pradesh,Nandyal,"Financial Year (Apr - Mar), 2025",22-Apr-2026,28,0,0,420,71,62,427,91,80
India,Andhra Pradesh,Ntr,"Financial Year (Apr - Mar), 2025",22-Apr-2026,16,0,0,264,25,22,277,27,22
