Cluster,State,District,Malnutrition Index (z)
0,Gujarat,Navsari,1.3924103548667228
0,Gujarat,Vadodara,1.2556508438159109
0,Gujarat,Valsad,1.0566942123714296
0,Gujarat,Surat,0.9493150030309264
0,Madhya Pradesh,Balaghat,0.8296238438841996
1,Assam,Dhubri,1.1823531552911664
1,Uttar Pradesh,Amroha,0.8249804580109749
1,Uttar Pradesh,Shahjahanpur,0.741561039843097
1,Nagaland,Zunheboto,0.7298223458891294
1,Uttar Pradesh,Bareilly,0.5720057900246478
2,Maharashtra,Chandrapur,2.0168976137874637
2,Maharashtra,Nashik,1.3832217287840012
2,Andhra Pradesh,Kurnool,1.3216810756302946
2,Jharkhand,Lohardaga,1.2720245520269786
2,West Bengal,Paschim Bardhaman,1.2131446871553977
3,Jharkhand,West Singhbhum,3.0654672624480512
3,Gujarat,Panch Mahals,2.768303873713898
3,Gujarat,Dohad,2.6554912515082223
3,Gujarat,Dang,2.531344388475817
3,Maharashtra,Nandurbar,2.4448422274434387
