,count,mean,std,min,25%,50%,75%,max
stunting_pct,704.0,33.523295454545455,8.47931614054472,13.2,27.3,32.8,39.3,60.6
wasting_pct,704.0,18.59602272727273,6.521243201476012,4.5,13.9,18.1,22.8,48.0
underweight_pct,704.0,29.557244318181816,9.715836162601589,7.2,22.1,29.5,36.3,62.4
anaemia_children_u5_pct,704.0,65.89815340909091,12.043212120461204,24.9,59.6,67.7,74.025,95.5
improved_water_pct,704.0,93.75241477272726,8.675914231908939,41.2,92.0,97.0,99.3,100.0
improved_sanitation_pct,704.0,71.88579545454546,14.272751444281848,29.2,61.975,73.7,83.3,99.9
women_10plus_schooling_pct,704.0,40.23636363636364,14.15336787905718,13.6,29.225,39.0,49.725,88.2
institutional_deliveries_pct,698.0,93.6256446991404,10.614680216445361,27.9,92.4,98.4,99.8,100.0
anc_4plus_pct,698.0,78.64047277936963,23.009483390290775,4.9,68.125,81.35,91.375,276.5
weighted_yield_t_per_ha,376.0,367.6207340685922,1101.778082702565,0.47577092511013214,2.2882524205809784,4.236381930208186,44.38392059668298,10234.277208323881
